duration,file_size,durationSecs,rscore,adult,bulk,impostor,lowpriority,malware,mlx,mlxlog,phish,sn,spam,suspect,unknownsender,engine,overall,msgSizeBytes,detectedSizeBytes,sizeDecodedBytes,structureId,rcpts,sender,filter_score,linecount,sizeBytes,size,timeendpos,timestartpos,isPhish
0.237479,1.0,0.237479,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-234.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8596.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6282.0,6282.0,2890.0,2859.0,2.0
0.179487,27788.0,0.179487,16.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,41250.0,27788.0,27788.0,0.0,0.0,0.0,100.0,1.0,38913.0,38913.0,5694.0,5663.0,2.0
0.189117,1.0,0.189117,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8594.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6280.0,6280.0,6608.0,6577.0,2.0
0.198176,1.0,0.198176,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8595.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6282.0,6282.0,2855.0,2824.0,2.0
0.196346,1.0,0.196346,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-221.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8710.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6404.0,6404.0,399.0,368.0,2.0
0.220292,1.0,0.220292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,100.0,45.0,0.0,0.0,20.0,100.0,100.0,20144.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,18807.0,18807.0,2835.0,2804.0,2.0
0.209575,1.0,0.209575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,100.0,93.0,0.0,0.0,20.0,100.0,100.0,18590.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,17257.0,17257.0,3224.0,3193.0,2.0
0.142963,1.0,0.142963,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,92.0,0.0,0.0,20.0,100.0,100.0,7231.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5289.0,5289.0,5477.0,5446.0,2.0
0.210119,1.0,0.210119,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,1.0,0.0,0.0,20.0,100.0,100.0,7231.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5285.0,5285.0,83.0,52.0,2.0
0.157413,1.0,0.157413,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,61.0,0.0,0.0,20.0,100.0,100.0,7250.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5301.0,5301.0,1646.0,1615.0,2.0
0.227276,1.0,0.227276,100.0,0.0,1.0,1.0,1.0,0.0,100.0,-349.0,99.0,1.0,100.0,0.0,1.0,100.0,100.0,5254.0,1.0,1.0,1.0,0.0,0.0,100.0,1.0,5230.0,5230.0,2085.0,2054.0,2.0
0.182257,1.0,0.182257,16.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,80.0,0.0,0.0,20.0,100.0,100.0,7178.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5234.0,5234.0,2875.0,2844.0,2.0
0.17757,1.0,0.17757,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-244.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8528.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6242.0,6242.0,39.0,8.0,2.0
0.458697,1.0,0.458697,16.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,100.0,76.0,0.0,0.0,1.0,100.0,100.0,504715.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,502150.0,502150.0,9984.0,9953.0,2.0
0.109687,1.0,0.109687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,57.0,0.0,0.0,20.0,100.0,100.0,7218.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5273.0,5273.0,948.0,917.0,2.0
0.170245,1.0,0.170245,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,100.0,62.0,0.0,0.0,20.0,100.0,100.0,7212.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5268.0,5268.0,2044.0,2013.0,2.0
0.142489,1.0,0.142489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,68.0,0.0,0.0,20.0,100.0,100.0,7200.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5256.0,5256.0,2696.0,2665.0,2.0
0.144652,1.0,0.144652,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,60.0,0.0,0.0,20.0,100.0,100.0,7185.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5241.0,5241.0,3788.0,3757.0,2.0
0.113596,1.0,0.113596,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,22.0,0.0,0.0,20.0,100.0,100.0,7191.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5246.0,5246.0,5406.0,5375.0,2.0
0.211225,1.0,0.211225,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,95.0,0.0,0.0,20.0,100.0,100.0,7173.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5229.0,5229.0,5377.0,5346.0,2.0
0.121595,1.0,0.121595,49.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,74.0,0.0,0.0,20.0,100.0,100.0,7193.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5249.0,5249.0,2963.0,2932.0,2.0
0.154649,1.0,0.154649,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-132.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8553.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6256.0,6256.0,39.0,8.0,2.0
